Country,Total military aid plus additions ($bn),% of total,acc
United States,107.33,59.97,59.97
Germany,19.42,10.85,70.82
United Kingdom,10.00,5.59,76.41
Denmark,9.21,5.15,81.56
EU (Commission & Council),6.14,3.43,84.99
Netherlands,4.88,2.73,87.71
Norway,4.17,2.33,90.04
Poland,3.29,1.84,91.88
Canada,2.28,1.27,93.16
Sweden,2.23,1.25,94.40
Finland,1.80,1.01,95.41
Czech Republic,1.39,0.78,96.18
Estonia,0.98,0.55,96.73
Lithuania,0.90,0.50,97.23
Italy,0.73,0.41,97.64
Slovakia,0.73,0.41,98.05
France,0.70,0.39,98.44
Australia,0.53,0.30,98.74
Latvia,0.41,0.23,98.97
Belgium,0.36,0.20,99.17
Spain,0.36,0.20,99.37
Bulgaria,0.27,0.15,99.52
Croatia,0.21,0.12,99.64
Greece,0.20,0.11,99.75
Luxembourg,0.12,0.07,99.82
Portugal,0.08,0.04,99.86
Japan,0.07,0.04,99.90
Slovenia,0.07,0.04,99.94
Turkey,0.07,0.04,99.98
New Zealand,0.02,0.01,99.99
Iceland,0.02,0.01,100.00
Switzerland,0.00,0.00,100.00
South Korea,0.00,0.00,100.00
Austria,0.00,0.00,100.00
Romania,0.00,0.00,100.00
Ireland,0.00,0.00,100.00
Taiwan,0.00,0.00,100.00
Hungary,0.00,0.00,100.00
China,0.00,0.00,100.00
Cyprus,0.00,0.00,100.00
India,0.00,0.00,100.00
Malta,0.00,0.00,100.00
