Country,"Number of Refugees (January 15, 2024)",Population in 2020,% of population,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
Germany,1125850,"83,240,525",1.35,
Poland,956633,"37,950,802",2.52,
Czech Republic,375588,"10,698,896",3.51,
United Kingdom,250361,"67,215,293",0.37,
Spain,199154,"47,351,567",0.42,
Italy,169042,"59,554,023",0.28,
Netherlands,146717,"17,441,139",0.84,
Moldova,116835,"2,620,495",4.46,
Slovakia,114268,"5,458,827",2.09,
Ireland,102561,"4,994,724",2.05,
Romania,85710,"19,286,123",0.44,
Austria,83981,"8,916,864",0.94,
Belgium,75053,"11,555,997",0.65,
France,69669,"67,391,582",0.10,
Norway,66963,"5,379,475",1.24,
Switzerland,66479,"8,636,896",0.77,
Hungary,65584,"9,749,763",0.67,
Finland,64752,"5,530,719",1.17,
Portugal,59350,"10,305,564",0.58,
Lithuania,52304,"2,794,700",1.87,
Bulgaria,51860,"6,934,015",0.75,
Montenegro,48698,"621,306",7.84,
Latvia,43825,"1,901,548",2.30,
Sweden,41823,"10,353,442",0.40,
Turkey,41392,"84,339,067",0.05,
Estonia,38183,"1,331,057",2.87,
Denmark,36961,"5,831,404",0.63,
Belarus,27673,"9,379,952",0.30,
Greece,27363,"10,715,549",0.26,
Croatia,24148,"4,047,200",0.60,
Cyprus,18232,"1,207,361",1.51,
Slovenia,10635,"2,100,126",0.51,
Luxembourg,4221,"632,275",0.67,
Iceland,3796,"366,463",1.04,
Malta,2114,"525,285",0.40,
Australia,0,"25,687,041",0.00,
Canada,0,"38,005,238",0.00,
China,0,"1,410,929,362",0.00,
India,0,"1,380,004,385",0.00,
Japan,0,"125,836,021",0.00,
New Zealand,0,"5,084,300",0.00,
South Korea,0,"51,780,579",0.00,
Taiwan,0,"23,816,775",0.00,
United States,0,"329,484,123",0.00,
